image,ground_truth,prediction,CER_score
test001_1.jpg,B9140BCD,B9114111,0.625
test001_2.jpg,B2407UZO,18B2077,0.75
test001_3.jpg,B2842PKM,B 2345,0.75
test002_1.jpg,BG1352AE,AEA 1352,0.75
test003_1.jpg,B2634UZF,B-2635,0.625
test003_2.jpg,B1995JVK,B199 125,0.5
test004_1.jpg,B9062VEN,830265,0.75
test005_1.jpg,DD3798KM,DD 1798,0.5
test006_1.jpg,T1329KD,1732-829,0.8571428571428571
test007_1.jpg,AD8865EE,AD 8869,0.5
test008_1.jpg,DK1157AAB,DKL 1157,0.5555555555555556
test008_2.jpg,AA1997FE,AA-1991,0.5
test009_1.jpg,H8518NA,H8-6591,0.7142857142857143
test009_2.jpg,K1649GB,1046,0.7142857142857143
test010_1.jpg,B9416PCN,B9961,0.625
test010_2.jpg,H1147UY,H1127,0.42857142857142855
test011_1.jpg,H1691IL,169 1769,0.7142857142857143
test011_2.jpg,B9374KV,B 9321 RI,0.8571428571428571
test011_3.jpg,D1204AIG,12041,0.5
test012_1.jpg,E1887BA,E1897,0.42857142857142855
test013_1.jpg,B1439UZP,1436,0.625
test013_2.jpg,B1128WBS,B11123,0.625
test014_1.jpg,B1388DFX,1387,0.625
test015_1.jpg,AD1798BT,AD 1798,0.375
test016_1.jpg,E1517DO,1517,0.42857142857142855
test017_1.jpg,AD8982FS,AD 8098,0.625
test018_1.jpg,L7603UA,760-849,0.7142857142857143
test019_1.jpg,AD7HS,726,0.8
test019_2.jpg,B1959WYK,B1965,0.625
test020_1.jpg,AG8634EK,AG 868,0.625
test020_2.jpg,AD1328PY,AD 1328,0.375
test021_1.jpg,BA1709DW,BA 179,0.5
test021_2.jpg,W1236VZ,12345,0.5714285714285714
test022_1.jpg,W1825BZ,1825,0.42857142857142855
test022_2.jpg,L1202UE,L-1230,0.7142857142857143
test022_3.jpg,L3823IO,1382,0.5714285714285714
test023_1.jpg,B1730JLO,1739,0.625
test024_1.jpg,B2964TRU,B 2967,0.625
test025_1.jpg,S5585LP,5676,0.8571428571428571
test025_2.jpg,L2858RR,L 23859,0.7142857142857143
test025_3.jpg,W1185ZO,W11 185,0.5714285714285714
test025_4.jpg,Z9840VU,9846015,0.5714285714285714
test026_1.jpg,N9652DE,9652,0.42857142857142855
test026_2.jpg,L3836ZX,38396,0.5714285714285714
test027_1.jpg,N1905IG,N19635,0.5714285714285714
test027_2.jpg,B1109CLR,B110119,0.5
test027_3.jpg,L1840AL,1864,0.7142857142857143
test028_1.jpg,L1438EB,143,0.5714285714285714
test028_2.jpg,L1436AAJ,L14138AAA,0.375
test029_1.jpg,W1516WF,1516,0.42857142857142855
test029_2.jpg,G1986N,G 196,0.5
test029_3.jpg,L1588OO,1587,0.5714285714285714
test029_4.jpg,L1436AAA,1436,0.5
test030_1.jpg,S8062NF,809062,0.7142857142857143
test030_2.jpg,G1894TE,1893,0.5714285714285714
test031_1.jpg,L1560JO,1560,0.42857142857142855
test031_2.jpg,L1568OB,1658,0.7142857142857143
test031_3.jpg,L1332AAZ,L 1932 AZ,0.375
test032_1.jpg,B2734SKY,B 2165,0.875
test032_2.jpg,W1192K,W12132,0.5
test033_1.jpg,L4561VK,4530,0.7142857142857143
test033_2.jpg,L2693GR,L1269,0.5714285714285714
test033_3.jpg,W9847G,8763,0.8333333333333334
test033_4.jpg,L1762ABJ,L71862,0.625
test034_1.jpg,L1811SU,L1811S,0.14285714285714285
test034_2.jpg,W1167VB,WV17 V8,0.5714285714285714
test034_3.jpg,S6131ACF,S6151,0.5
test034_4.jpg,L2570AAD,L2570AD,0.125
test035_1.jpg,L9643NN,9062,0.8571428571428571
test035_2.jpg,L5247GI,5217,0.5714285714285714
test035_3.jpg,L2498AAM,L 2739 AM,0.625
test035_4.jpg,W1696YO,WYD 1696,0.7142857142857143
test036_1.jpg,B1231JJA,123456,0.625
test036_2.jpg,B1618UAE,D1688,0.625
test037_1.jpg,L1775VO,177 VLV,0.5714285714285714
test037_2.jpg,L300RX,3000,0.5
test037_3.jpg,L1879VG,1876,0.5714285714285714
test038_1.jpg,D1523YCN,1562,0.75
test038_2.jpg,L1877ACU,1877,0.5
test039_1.jpg,L1069VK,1096,0.5714285714285714
test040_1.jpg,S1595LL,1569,0.7142857142857143
test041_1.jpg,B1231JJA,12345,0.625
test042_1.jpg,AD1174SF,AD 171117,0.625
test043_1.jpg,W1898YW,W1898,0.2857142857142857
test043_2.jpg,W1470PG,1440,0.5714285714285714
test044_1.jpg,L1930KF,1930,0.42857142857142855
test044_2.jpg,N1004HE,N104104,0.5714285714285714
test045_1.jpg,S1347LJ,1347,0.42857142857142855
test046_1.jpg,L1470ABK,L 1470,0.5
test046_2.jpg,L1265MX,L1265,0.2857142857142857
test047_1.jpg,N1524SY,1523,0.5714285714285714
test047_2.jpg,L1678ACE,L17678,0.5
test048_1.jpg,L9316BC,LF13916,0.7142857142857143
test048_2.jpg,N1838AY,1838,0.42857142857142855
test049_1.jpg,N1376DE,N1376,0.2857142857142857
test049_2.jpg,N79AP,7901,0.6
test050_1.jpg,L1265OF,1265,0.42857142857142855
test050_2.jpg,N1095G,1065,0.5
test051_1.jpg,N1718HC,1718,0.42857142857142855
test052_1.jpg,N6497KS,67876,0.7142857142857143
test052_2.jpg,N5235ABX,NS5239,0.625
test052_3.jpg,N4980KJ,4980,0.42857142857142855
test053_1.jpg,N1365AAG,N191366,0.75
test054_1.jpg,N1077AAK,N107 1977,0.625
test054_2.jpg,N1084AAB,1087,0.625
test055_1.jpg,N1610KS,1609,0.5714285714285714
test056_1.jpg,N924CIA,N927C,0.42857142857142855
test056_2.jpg,N1623HB,1623,0.42857142857142855
test056_3.jpg,L1430HF,143,0.5714285714285714
test057_1.jpg,N1342T,N1341142,0.6666666666666666
test057_2.jpg,H4145AB,NK1352,0.7142857142857143
test057_3.jpg,N1396AAH,N1389AAA,0.375
test058_1.jpg,N3153ACB,N331156,0.75
test058_2.jpg,H5829KJ,5682,0.7142857142857143
test058_3.jpg,N1780JL,NJ 1780,0.5714285714285714
test059_1.jpg,W8774PA,W877,0.42857142857142855
test059_2.jpg,B9162FXU,B-9191,0.75
test060_1.jpg,L1846JE,LJ1865,0.5714285714285714
test060_2.jpg,M1457ITA,14657,0.625
test061_1.jpg,AA1971KJ,1971,0.5
test061_2.jpg,BD1146DH,BD141146,0.5
test062_1.jpg,B9654PEU,B 965,0.625
test062_2.jpg,AE7244S,AE-7215,0.5714285714285714
test063_1.jpg,S1208BI,1234567890,1.1428571428571428
test064_1.jpg,AE8137G,AE81197,0.42857142857142855
test065_1.jpg,H1706SW,H17906,0.42857142857142855
test066_1.jpg,L1229HS,123456,0.7142857142857143
test066_2.jpg,H1790ZY,H1790,0.2857142857142857
test067_1.jpg,L1855BR,1856,0.5714285714285714
test067_2.jpg,AB1274EV,ABL 1271,0.625
test068_1.jpg,B2310UZS,B 2319,0.625
test068_2.jpg,G1264CM,1265,0.5714285714285714
test069_1.jpg,AA1138AK,AA 1318,0.5
test070_1.jpg,B2160TOB,B12166,0.625
test070_2.jpg,B2597BYK,2597,0.5
test071_1.jpg,G9545AG,G 9564,0.7142857142857143
test072_1.jpg,BG1870IB,1876,0.625
test073_1.jpg,T1187HB,1987,0.5714285714285714
test073_2.jpg,A1330FP,1334,0.5714285714285714
test074_1.jpg,G1368GE,1368,0.42857142857142855
test074_2.jpg,B1081CMR,B101198,0.5
test075_1.jpg,G2414XZ,6725,1.0
test075_2.jpg,G9173BP,9173,0.42857142857142855
test075_3.jpg,TIDAK_TERBACA,123456,1.0
test076_1.jpg,G2151ASF,613211,0.875
test076_2.jpg,E500MA,500,0.5
test076_3.jpg,G4689SN,C 42809,0.8571428571428571
test077_1.jpg,G1754DZ,617-0217,0.8571428571428571
test078_1.jpg,H1413DH,1413,0.42857142857142855
test079_1.jpg,T1688GY,1687,0.5714285714285714
test079_2.jpg,A1260AJ,12657,0.5714285714285714
test080_1.jpg,D77HSB,777 HSB,0.3333333333333333
test080_2.jpg,B1661TQJ,B1861,0.5
test080_3.jpg,D1160ADE,1600 ADE,0.5
test081_1.jpg,F8097BD,8090,0.5714285714285714
test081_2.jpg,F1992AM,F1971,0.5714285714285714
test076_1.jpg,G2151ASF,6132101,0.875
test076_2.jpg,E500MA,500,0.5
test076_3.jpg,G4689SN,C 42809,0.8571428571428571
test077_1.jpg,G1754DZ,617-029,0.7142857142857143
test078_1.jpg,H1413DH,1413,0.42857142857142855
test079_1.jpg,T1688GY,1687,0.5714285714285714
test082_1.jpg,E1824YZ,1827,0.5714285714285714
test082_2.jpg,B9093UEX,B90396,0.5
test083_1.jpg,F5052AAE,F5067,0.625
test083_2.jpg,F5452CQ,5652,0.5714285714285714
test084_1.jpg,B1158PYP,181116,0.875
test084_2.jpg,B1242VOY,B1213VY,0.375
